code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
STIR017	intervista-semistrutturata	00:13:56	2	PST045;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIR018	intervista-semistrutturata	00:19:59	2	PST046;PST211	italiano	TO	fisso	yes	asimmetrico	_	no
STIR019	intervista-semistrutturata	00:27:00	3	PST050;PST212;PST213	italiano	TO	fisso	yes	asimmetrico	_	yes
STIR020	intervista-semistrutturata	00:12:23	4	PST051;PST211;PST212;PST213	italiano	TO	fisso	yes	asimmetrico	_	no
STIR021	intervista-semistrutturata	00:18:42	2	PST052;PST211	italiano	TO	fisso	yes	asimmetrico	_	yes
STIR022	intervista-semistrutturata	00:19:56	2	PST055;PST211	italiano	TO	fisso	yes	asimmetrico	_	yes
STIR023	intervista-semistrutturata	00:21:43	3	PST056;PST057;PST211	italiano	TO	fisso	yes	asimmetrico	_	no
STIR024	intervista-semistrutturata	00:09:32	2	PST058;PST211	italiano	TO	fisso	yes	asimmetrico	_	no
STIR025	intervista-semistrutturata	00:27:04	3	PST059;PST211;PST212	italiano	TO	fisso	yes	asimmetrico	_	no
STIR026	intervista-semistrutturata	00:20:30	2	PST060;PST212	italiano;other	TO	fisso	yes	asimmetrico	_	yes
STIR027	intervista-semistrutturata	00:42:37	2	PST077;PST082	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIR028	intervista-semistrutturata	00:39:36	2	PST082;PST091	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIR029	intervista-semistrutturata	00:50:12	4	PST083;PST102;PST203;PST211	italiano;other	TO	fisso	yes	asimmetrico	_	no
STIR030	intervista-semistrutturata	00:36:32	3	PST092;PST094;PST203	italiano;other	TO	fisso	yes	asimmetrico	_	no
STCR002	conversazione-libera	00:33:26	6	PST082;PST083;PST085;PST093;PST094;PST203	italiano;other	TO	libero	no	simmetrico	_	yes
STCR003	conversazione-libera	00:30:10	5	PST086;PST087;PST092;PST094;PST203	italiano;other	TO	libero	no	simmetrico	_	yes
STCR004	conversazione-libera	00:10:43	7	PST083;PST085;PST087;PST092;PST093;PST203;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STCR005	conversazione-libera	00:46:16	8	PST082;PST083;PST086;PST087;PST092;PST093;PST100;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STCR006	conversazione-libera	00:20:06	4	PST086;PST087;PST092;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STCR007	conversazione-libera	00:29:02	4	PST082;PST083;PST087;PST092	italiano;other	TO	libero	no	simmetrico	_	yes
STCR008	conversazione-libera	01:02:26	7	PST083;PST085;PST086;PST092;PST100;PST203;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STCR009	conversazione-libera	00:14:29	6	PST085;PST087;PST092;PST094;PST203;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STCR010	conversazione-libera	00:25:50	7	PST085;PST086;PST087;PST092;PST094;PST203;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STCR011	conversazione-libera	00:47:56	4	PST087;PST092;PST203;PST211	italiano;other	TO	libero	no	simmetrico	_	no
STCR012	conversazione-libera	00:06:00	5	PST085;PST087;PST092;PST203;PST211	italiano;other	TO	libero	no	simmetrico	_	yes
STCR013	conversazione-libera	00:28:12	8	PST085;PST086;PST087;PST092;PST094;PST203;PST211;PST212	italiano;other	TO	libero	no	simmetrico	_	yes
STCR014	conversazione-libera	00:30:50	5	PST087;PST092;PST203;PST211;PST212	italiano;other	TO	libero	no	simmetrico	_	no
STCR015	conversazione-libera	00:31:06	3	PST118;PST119;PST120	italiano;other	TO	libero	no	simmetrico	_	yes
STCR016	conversazione-libera	00:40:17	8	PST083;PST085;PST086;PST087;PST092;PST093;PST203;PST211	italiano;other	TO	libero	no	simmetrico	_	no
