code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
TOD2001	intervista-semistrutturata	00:22:04	2	TO999;TO082	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2002	intervista-semistrutturata	00:16:33	2	TO999;TO081	italiano	TO	fisso	yes	simmetrico	2018	yes
TOD2003	intervista-semistrutturata	00:18:18	2	TO999;TO083	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2004	intervista-semistrutturata	00:11:02	2	TO999;TO084	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2005	intervista-semistrutturata	00:31:41	2	TO055;TO041	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2006	intervista-semistrutturata	00:13:19	2	TO999;TO042	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2007	intervista-semistrutturata	00:30:21	2	TO055;TO043	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2008	intervista-semistrutturata	00:29:54	2	TO055;TO044	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2009	intervista-semistrutturata	00:30:27	2	TO055;TO045	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2010	intervista-semistrutturata	00:29:10	2	TO055;TO046	italiano	TO	fisso	yes	simmetrico	2018	yes
TOD2011	intervista-semistrutturata	00:31:38	2	TO055;TO047	italiano	TO	fisso	yes	simmetrico	2018	no
TOD2012	intervista-semistrutturata	00:45:32	2	TO071;TO056	italiano	TO	fisso	yes	simmetrico	2019	no
TOD2013	intervista-semistrutturata	01:08:28	3	TO071;TO057;TO058	italiano	TO	fisso	yes	simmetrico	2019	yes
TOD2014	intervista-semistrutturata	00:27:40	3	TO071;TO059;TO060	italiano	TO	fisso	yes	simmetrico	2019	yes
TOD2015	intervista-semistrutturata	00:30:52	2	TO071;TO073	italiano	TO	fisso	yes	simmetrico	2019	yes
TOD2016	intervista-semistrutturata	00:30:39	2	TO071;TO080	italiano	TO	fisso	yes	simmetrico	2019	no
